raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	(1987-2010)	1	(1987-2010)	(1987-2010)	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	(HEJMARÊN	1	(HEJMARÊN	(hejmarên	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	(Izafe),	1	(Izafe),	(izafe),	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	/	1	/	/	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	1-47)	1	1-47)	1-47)	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	1.	2	1.	1.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	1987	1	1987	1987	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	2.	2	2.	2.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	2010	1	2010	2010	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	3.	1	3.	3.	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	47	1	47	47	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	a	1	a	a	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	across	2	across	across	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	and	4	and	and	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	Behdînan,	1	Behdînan,	behdînan,	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	Botan,	1	Botan,	botan,	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	botanical,	1	botanical,	botanical,	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	by	1	by	by	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	causative	1	causative	causative	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	comparison	1	comparison	comparison	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	construct	1	construct	construct	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	Contents	1	Contents	contents	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	Danasîn	1	Danasîn	danasîn	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	dedicated	1	dedicated	dedicated	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	Deep	1	Deep	deep	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	derivations,	1	derivations,	derivations,	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	development	1	development	development	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	dialectal	2	dialectal	dialectal	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	Dîrokî	1	Dîrokî	dîrokî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	Enstîtuya	1	Enstîtuya	enstîtuya	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	examination	1	examination	examination	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	Extensive	1	Extensive	extensive	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	from	1	from	from	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	grammatical	1	grammatical	grammatical	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	grammatical,	1	grammatical,	grammatical,	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	harmonization.	1	harmonization.	harmonization.	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	in	1	in	in	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	Institute	1	Institute	institute	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	is	1	is	is	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	issues,	1	issues,	issues,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	Khorasan.	1	Khorasan.	khorasan.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	KORPUSA	1	KORPUSA	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	Korpusa	1	Korpusa	korpusa	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	KOVARA	1	KOVARA	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	Kovara	2	Kovara	kovara	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	Kurdish	2	Kurdish	kurdish	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	Kurdî	1	Kurdî	kurdî	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	KURMANCÎ	1	KURMANCÎ	kurmancî	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	Kurmancî	2	Kurmancî	kurmancî	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000050	Kurmanji.	1	Kurmanji.	kurmanji.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000051	legal	1	legal	legal	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000052	lexicography,	1	lexicography,	lexicography,	13	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000053	li	1	li	li	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000054	linguistic	2	linguistic	linguistic	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000055	linkers	1	linkers	linkers	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000056	medical,	1	medical,	medical,	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000057	morphology.	1	morphology.	morphology.	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000058	Naveroka	1	Naveroka	naveroka	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000059	of	4	of	of	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000060	Paris	1	Paris	paris	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000061	Parîsê	1	Parîsê	parîsê	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000062	passive	1	passive	passive	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000063	periodical	1	periodical	periodical	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000064	published	1	published	published	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000065	Pêrist	1	Pêrist	pêrist	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000066	Rojava,	1	Rojava,	rojava,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000067	Rêzimana	1	Rêzimana	rêzimana	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000068	scientific,	1	scientific,	scientific,	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000069	ser	1	ser	ser	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000070	Serhed,	1	Serhed,	serhed,	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000071	specialized	1	specialized	specialized	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000072	standardization,	1	standardization,	standardization,	16	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000073	Systematic	1	Systematic	systematic	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000074	Table	1	Table	table	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000075	Taybet	1	Taybet	taybet	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000076	Taybetmendiyên	1	Taybetmendiyên	taybetmendiyên	14	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000077	terminology	1	terminology	terminology	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000078	terminology,	1	terminology,	terminology,	12	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000079	Termînolojî	1	Termînolojî	termînolojî	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000080	the	2	the	the	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000081	to	2	to	to	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000082	Tor,	1	Tor,	tor,	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000083	transitivity,	1	transitivity,	transitivity,	13	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000084	verbal	1	verbal	verbal	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000085	ya	1	ya	ya	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000086	Zimanî	1	Zimanî	zimanî	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000087	Çavkanî	1	Çavkanî	çavkanî	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000088	û	3	û	û	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
