raw_token_id	raw_token	frequency	nfc_search_key	casefold_search_key	unicode_char_length	semantic_status	interpretive_status
R000001	!	21	!	!	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000002	!bda'ı	1	!bda'ı	!bda'ı	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000003	!erne	1	!erne	!erne	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000004	!mparatoru	1	!mparatoru	!mparatoru	10	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000005	!ncil	1	!ncil	!ncil	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000006	!ncil'i	1	!ncil'i	!ncil'i	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000007	!nsan	1	!nsan	!nsan	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000008	!ran	1	!ran	!ran	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000009	!sa	1	!sa	!sa	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000010	!STANBUL	1	!STANBUL	!stanbul	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000011	!şte	1	!şte	!şte	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000012	"""""'"	1	"""""'"	"""""'"	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000013	"""'Küçük"	1	"""'Küçük"	"""'küçük"	7	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000014	'I.Vekil.	1	'I.Vekil.	'i.vekil.	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000015	'in	1	'in	'in	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000016	'ü	1	'ü	'ü	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000017	(	2	(	(	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000018	(1)	37	(1)	(1)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000019	(1),	1	(1),	(1),	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000020	(1).	2	(1).	(1).	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000021	(1692)	1	(1692)	(1692)	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000022	(1}	1	(1}	(1}	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000023	(2)	19	(2)	(2)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000024	(2),	1	(2),	(2),	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000025	(3)	7	(3)	(3)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000026	(İnanç	1	(İnanç	(i̇nanç	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000027	(Küçüklerin	1	(Küçüklerin	(küçüklerin	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000028	(Metna	1	(Metna	(metna	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000029	(Çapa	1	(Çapa	(çapa	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000030	(ı)	1	(ı)	(ı)	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000031	,	1	,	,	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000032	,·	1	,·	,·	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000033	-	12	-	-	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000034	-+<Yasin»	1	-+<Yasin»	-+<yasin»	9	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000035	-dır.	1	-dır.	-dır.	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000036	-Her	1	-Her	-her	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000037	-N	1	-N	-n	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000038	-«Ateşe»	1	-«Ateşe»	-«ateşe»	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000039	-«Lem	1	-«Lem	-«lem	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000040	.	98	.	.	1	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000041	..	7	..	..	2	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000042	...	6	...	...	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000043	....	2	....	....	4	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000044	.değer	1	.değer	.değer	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000045	.Elli	1	.Elli	.elli	5	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000046	.sizliği	1	.sizliği	.sizliği	8	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000047	.Sülünlerin	1	.Sülünlerin	.sülünlerin	11	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000048	.şında	1	.şında	.şında	6	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
R000049	.•.	1	.•.	.•.	3	SEMANTIC VALUE UNRESOLVED	INTERPRETATION UNREVIEWED
